Local Area Unemployment Statistics,,,,,,,,,,,,
Original Data Value,,,,,,,,,,,,
,,,,,,,,,,,,
Series Id:,LAUDV534264400000005,,,,,,,,,,,
Not Seasonally Adjusted,,,,,,,,,,,,
Area:,"Seattle-Bellevue-Everett, WA Metropolitan Division",,,,,,,,,,,
Area Type:,Metropolitan divisions,,,,,,,,,,,
State/Region/Division:,Washington,,,,,,,,,,,
Years:,2012 to 2022,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,1384863,1402595,1408761,1416897,1413927,1416804,1413745,1416165,1431093,1425420,1429032,1426678
2013,1430384,1452735,1446951,1459697,1456985,1460066,1460800,1456560,1459938,1449229,1465949,1466720
2014,1470266,1487664,1488096,1491036,1484168,1486986,1492700,1489651,1491191,1500100,1502343,1497812
2015,1500559,1519823,1522836,1532107,1523707,1523970,1525321,1533434,1521119,1518324,1518977,1521650
2016,1531943,1559226,1560935,1565459,1563842,1564805,1566339,1577013,1579804,1570082,1575252,1563216
2017,1572488,1592727,1593796,1594738,1590355,1585662,1590363,1594655,1604958,1588434,1599931,1598482
2018,1612364,1642894,1638009,1634562,1629293,1625949,1637454,1632468,1635529,1629838,1636464,1636433
2019,1648643,1676380,1671804,1669320,1667202,1667544,1677319,1681678,1687454,1681884,1695402,1681749
2020,1697104,1719587,1620976,1427252,1472487,1521369,1542577,1580016,1578459,1588790,1598044,1595578
2021,1603366,1628223,1622926,1624482,1620668,1618890,1635912,1646263,1655988,1655600,1671470,1681651
2022,1695625,1733554,1725379,1745158,1746628,1728837,1720163,1707886,1726751,1720161,1696414,1705037
